,Month,Day,Rainfall,Perca,CumRain
174,6,23,313.66,0.41566216522802973,32.8806848420468
175,6,24,521.27,0.6907868930319934,33.57147173507879
176,6,25,197.51,0.26174020995405267,33.83321194503284
177,6,26,487.63,0.6462071721932798,34.47941911722612
178,6,27,231.4,0.30665123073954625,34.78607034796567
179,6,28,213.3,0.28266511459267596,35.068735462558344
180,6,29,220.93,0.29277638896840086,35.36151185152674
181,6,30,465.3,0.6166154609468923,35.97812731247363
182,7,1,354.2,0.46938576459787074,36.447513077071505
183,7,2,417.27,0.5529661151715232,37.00047919224303
184,7,3,395.24,0.5237719638612717,37.5242511561043
185,7,4,318.96,0.4226857240997652,37.94693688020406
186,7,5,427.11,0.5660060810767831,38.51294296128085
187,7,6,229.0,0.3034707512504585,38.81641371253131
188,7,7,248.59,0.32943141508013746,39.145845127611445
189,7,8,186.02,0.24651366440004494,39.39235879201149
190,7,9,470.1,0.6229764199250679,40.01533521193656
191,7,10,242.24,0.32101639643192603,40.33635160836849
192,7,11,347.24,0.4601623740795162,40.796513982448005
193,7,12,265.85,0.35230436340582705,41.14881834585383
194,7,13,688.34,0.9121880214661162,42.06100636731995
195,7,14,462.69,0.6131566895025093,42.67416305682246
196,7,15,301.36,0.3993622078464549,43.073525264668916
197,7,16,361.85,0.4795235429693381,43.553048807638255
198,7,17,485.41,0.6432652286658737,44.19631403630413
199,7,18,444.76,0.5893958573194494,44.78570989362358
200,7,19,520.99,0.6904158370915999,45.47612573071518
201,7,20,565.61,0.7495462515928901,46.22567198230807
202,7,21,505.45,0.6698222323997565,46.89549421470783
203,7,22,386.24,0.5118451657771925,47.40733938048503
204,7,23,567.72,0.7523424231437131,48.15968180362874
205,7,24,256.74,0.3402317933451647,48.499913596973904
206,7,25,412.99,0.54729426008265,49.047207857056556
207,7,26,225.88,0.29933612791464437,49.3465439849712
208,7,27,332.8,0.4410264891535048,49.787570474124706
209,7,28,303.72,0.4024896793440579,50.190060153468764
210,7,29,307.07,0.4069290986309096,50.596989252099675
211,7,30,321.23,0.4256939276165274,51.0226831797162
212,7,31,533.56,0.7070735984156971,51.7297567781319
213,8,1,352.8,0.4675304848959029,52.1972872630278
214,8,2,328.76,0.4356726820135403,52.63295994504134
215,8,3,314.55,0.41684159303856644,53.04980153807991
216,8,4,296.7,0.39318677683847614,53.44298831491839
217,8,5,268.2,0.35541858290555883,53.798406897823945
218,8,6,238.89,0.3165769771450743,54.11498387496902
219,8,7,162.6,0.21547748538569672,54.33046136035472
220,8,8,407.24,0.5396743613067105,54.87013572166143
221,8,9,404.2,0.535645753953866,55.40578147561529
222,8,10,503.9,0.6677681727297207,56.073549648345015
223,8,11,447.94,0.5936099926424907,56.66715964098751
224,8,12,401.27,0.5317629185776047,57.19892255956511
225,8,13,669.1,0.8866911775619293,58.08561373712704
226,8,14,376.7,0.4992027598080686,58.58481649693511
227,8,15,472.3,0.6258918594567316,59.21070835639184
228,8,16,583.38,0.7730950518100108,59.98380340820185
229,8,17,260.84,0.34566511247235626,60.329468520674205
230,8,18,444.2,0.5886537454386622,60.91812226611287
231,8,19,462.57,0.6129976655280549,61.53111993164092
232,8,20,639.48,0.8474387598674376,62.37855869150836
233,8,21,444.56,0.5891308173620254,62.967689508870386
234,8,22,481.07,0.6375138615897732,63.60520337046016
235,8,23,317.96,0.42136052431264537,64.0265638947728
236,8,24,535.58,0.7097505019856793,64.73631439675849
237,8,25,749.6800000000001,0.9934757764080513,65.72979017316653
238,8,26,559.34,0.7412372489276483,66.47102742209418
239,8,27,419.53,0.5559610666904141,67.0269884887846
240,8,28,509.11,0.6746724636206154,67.7016609524052
241,8,29,445.11,0.5898596772449414,68.29152062965015
242,8,30,520.95,0.6903628291001151,68.98188345875026
243,8,31,400.21,0.5303582068032575,69.51224166555352
244,9,1,583.44,0.773174563797238,70.28541622935076
245,9,2,421.11,0.5580548823540638,70.84347111170482
246,9,3,805.04,1.066838836623009,71.91030994832782
247,9,4,609.12,0.8072056943304772,72.7175156426583
248,9,5,675.82,0.895596520131375,73.61311216278968
249,9,6,522.74,0.6927349367190597,74.30584709950874
250,9,7,606.31,0.8034818829286701,75.1093289824374
251,9,8,862.8000000000001,1.143382376327055,76.25271135876446
252,9,9,516.92,0.6850222739580217,76.93773363272248
253,9,10,690.4,0.9149179330275832,77.85265156575007
254,9,11,544.92,0.7221278679973792,78.57477943374744
255,9,12,442.44,0.5863213938133313,79.16110082756077
256,9,13,411.28,0.5450281684466749,79.70612899600745
257,9,14,694.87,0.9208415760760091,80.62697057208347
258,9,15,722.36,0.9572713182239354,81.5842418903074
259,9,16,413.04,0.5473605200720061,82.1316024103794
260,9,17,493.31,0.6537343069841208,82.78533671736352
261,9,18,424.37,0.5623750336600746,83.3477117510236
262,9,19,520.35,0.6895677092278432,84.03727946025144
263,9,20,250.69,0.33221433463308925,84.36949379488453
264,9,21,581.54,0.7706566842017102,85.14015047908624
265,9,22,560.05,0.7421781407765033,85.88232861986275
266,9,23,290.39,0.3848247661817495,86.2671533860445
267,9,24,411.27,0.5450149164488037,86.8121683024933
268,9,25,398.36,0.5279065871970858,87.34007488969038
269,9,26,339.8,0.45030288766334414,87.79037777735373
270,9,27,560.16,0.7423239127530865,88.53270169010682
271,9,28,377.93,0.5008327555462261,89.03353444565305
272,9,29,426.35,0.564998929238572,89.59853337489162
273,9,30,338.48,0.44855362394434584,90.04708699883597
274,10,1,352.07,0.46656308905130534,90.51365008788727
275,10,2,535.72,0.7099360299558761,91.22358611784314
276,10,3,434.64,0.575984835473796,91.79957095331693
277,10,4,372.12,0.4931333447830594,92.29270429809999
278,10,5,163.75,0.21700146514088461,92.50970576324087
279,10,6,463.65,0.6144288812981444,93.12413464453901
280,10,7,299.29,0.39661904428711675,93.52075368882613
281,10,8,276.69,0.3666695290982068,93.88742321792434
282,10,9,231.17,0.30634643478850865,94.19376965271285
283,10,10,123.36,0.1634766457391116,94.35724629845195
284,10,11,327.38,0.43384390630731484,94.79109020475927
285,10,12,179.52,0.23789986578376557,95.02899007054303
286,10,13,297.35,0.39404815670010407,95.42303822724314
287,10,14,268.09,0.35527281092897556,95.77831103817212
288,10,15,253.78,0.33630920197528974,96.1146202401474
289,10,16,142.9,0.1893710495794346,96.30399128972684
290,10,17,134.55,0.17830563135698338,96.48229692108382
291,10,18,239.19,0.3169745370812103,96.79927145816502
292,10,19,125.57,0.1664053372686466,96.96567679543367
293,10,20,163.23,0.21631236125158226,97.18198915668525
294,10,21,281.96,0.37365333197632866,97.55564248866158
295,10,22,143.39,0.1900203974751233,97.7456628861367
296,10,23,74.47,0.0986876281468194,97.84435051428352
297,10,24,83.55,0.11072044221386815,97.9550709564974
298,10,25,32.9,0.04359907299624491,97.99867002949364
299,10,26,207.91,0.2755222877400997,98.27419231723374
300,10,27,151.34,0.2005557357827266,98.47474805301647
301,10,28,123.55,0.1637284336986644,98.63847648671513
302,10,29,40.1,0.05314051146350823,98.69161699817865
303,10,30,101.01,0.13385843049698173,98.82547542867563
304,10,31,112.25,0.14875367610420945,98.97422910477984
305,11,1,25.4,0.03366007459284561,99.00788917937268
306,11,2,19.34,0.025629363882898982,99.03351854325558
307,11,3,22.03,0.029194151310251534,99.06271269456583
308,11,4,25.05,0.03319625466735365,99.09590894923319
309,11,5,47.03,0.06232414598824919,99.15823309522143
310,11,6,79.74000000000001,0.10567143102494132,99.26390452624638
311,11,7,18.62,0.024675220036172653,99.28857974628255
312,11,8,21.3,0.028226755465654,99.3168065017482
313,11,9,7.8,0.010336558339535267,99.32714306008774
314,11,10,1.01,0.0013384517849911052,99.32848151187272
315,11,11,10.73,0.014219393715796594,99.34270090558852
316,11,12,14.59,0.01933466489407943,99.36203557048259
317,11,13,0.74,0.0009806478424687305,99.36301621832506
318,11,14,0.63,0.0008348758658855409,99.36385109419095
319,11,15,0.0,0.0,99.36385109419095
320,11,16,0.5,0.0006625998935599531,99.36451369408451
321,11,17,0.0,0.0,99.36451369408451
322,11,18,0.0,0.0,99.36451369408451
323,11,19,26.2,0.03472023442254154,99.39923392850704
